,List of Tweets
0,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
1,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
2,"RT @imMAK02: So who is gonna win Maharashtra??? 

People of Maharashtra ignored PMC Scam, Aarey Forest, Farmer suicide, drought etc and vot…"
3,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
4,"RT @daveyk317: Angus Taylor sent fraudulent doctored documents to #TheDailyTellYaCrap to back up his lies....

#auspol
#abcnews24
@abcnews…"
5,"So who is gonna win Maharashtra??? 

People of Maharashtra ignored PMC Scam, Aarey Forest, Farmer suicide, drought… https://t.co/MGGwW5qzHb"
6,"RT @nanoview: Raining More Money? The LNP can't help themselves, they've Drained the Country of money to Buy Votes?

Nationals push for $1.…"
7,RT @DavidMaynier: Western Cape pledges R50m drought relief for farmers https://t.co/QqtqeLCYgH via @News24
8,Thats that drought talk https://t.co/onpuq83zsG
9,Rieder snaps 75-game goal-less drought in Flames’ loss to Capitals https://t.co/lnBZd7PMui
10,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
11,"Fifteen years ago, reeling from the effects of the Millennium drought, a workshop on regenerative agriculture radic… https://t.co/5DXf5KgiOU"
12,"RT @abcnews: How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/6Bp64XHRZG"
13,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
14,"RT @nanoview: Raining More Money? The LNP can't help themselves, they've Drained the Country of money to Buy Votes?

Nationals push for $1.…"
15,RT @calgarysun: Tobias Rieder snaps 75-game goal-less drought in Calgary #Flames loss https://t.co/Oa8STWERaB https://t.co/UMaCdo3rnj
16,RT @k1ngyohans: you know drought is real when ppl throwback stuff like when yohan gave this doll to dohyon... https://t.co/qfVrgWqqYj
17,"RT @ArpithaTNIE: Jagalur, a drought hit taluk of Davanagere receives sufficient rainfall after many years
#Davanagere #GoodRainfall #ground…"
18,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
19,"RT @Dj_Stavo: Was just Thinking 🤔

If he can Cause a DROUGHT I'm sure he  can locate his Watch 

Unless …....."
20,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
21,"RT @ivan2meyer: Western Cape pledges R50m drought relief for farmers

https://t.co/ESyRSAknkr?

shared via @News24"
22,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
23,"#nswpol #auspol #drought #hay bales #agchatoz 
cc @Barnaby_Joyce https://t.co/BtQtO09Wm3"
24,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
25,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
26,RT @leighsales: My guest tonight is the Minister for Drought David Littleproud #abc730
27,me after a jk drought https://t.co/5ipGX1pJuy
28,https://t.co/FmlvhaMBbS
29,The only person who thinks Katie Allen was challenged on @AngusTaylorMP's denial of his purported crime in the farc… https://t.co/T58IcCCYeU
30,"@o_copter @Timmunist The government didn't seize the land. Private locals, working under the British system, issued… https://t.co/lk1zu0zlfm"
31,"RT @nanoview: Raining More Money? The LNP can't help themselves, they've Drained the Country of money to Buy Votes?

Nationals push for $1.…"
32,https://t.co/OB8C9Vszpi
33,@AdriaanBasson @News24 Whoooooo - there is a drought in SA SA where peope have no bloody water. Focus on real issues Adriaan
34,Burrumbuttock HayRunners chosen by @_Ausdragon_ may sound weird but it is a group who donated hay to drought affect… https://t.co/R7ucm9H1m0
35,"RT @gorgeousdunny1: Labor calls for police investigation into Angus Taylor – politics live https://t.co/qG91Mphkvj?
CMP=share_btn_tw&amp;page=w…"
36,RT @leighsales: My guest tonight is the Minister for Drought David Littleproud #abc730
37,RT @k1ngyohans: you know drought is real when ppl throwback stuff like when yohan gave this doll to dohyon... https://t.co/qfVrgWqqYj
