,List of Tweets
0,"@dvwhat Dude, we were the same until that last tropical storm finally ended our drought over here. Hope you guys ge… https://t.co/HSYauoRSNP"
1,"#auspol sick of nats esp. listing those who suffer from drought always starting with irrigators.
Those who buy and… https://t.co/8qUS8N0Xwg"
2,"@ntvkenya When it rains they tell us there ain't enough water in the hydro dams, when there's  a drought they say t… https://t.co/wSWGS2IEhy"
3,"will they take the money from the NDIS? The GBR? They will take it from somewhere.

Major drought stimulus package… https://t.co/Mz7HcSxuxA"
4,"Btw I’m drunk tweeting rap lyrics tonight if you couldn’t tell, we started the night with Robb Bank$ and worked our… https://t.co/0JLKSFr9tJ"
5,the wonshim drought is real and yet our babies r probably txting each other goodnight/goodmorning and i miss you texts
6,Labor calls for police investigation into Angus Taylor – politics live https://t.co/uesS1PEXXI
7,You need to go Beetrooter.  These people are the backbone of our country who don't have hundred  thousands of dolla… https://t.co/80GJgWuzd8
8,"Minister of Finance and Economic Opportunities, @DavidMaynier authorised the release of R50M in emergency drought r… https://t.co/8DZ4CAy6xu"
9,"Planting Justice has proposed a planting plan (see attached photo). 
Part 2 -  Planting some California native/drou… https://t.co/7iQigSk8Da"
10,@leighsales And what is he actually doing about the drought and farmers’ welfare? Anything? Anything at all?
11,https://t.co/1rooHoYrg4
12,Da Drought 3 and chill?
13,“The unprecedented drought that has caused a water crisis in Zimbabwe has now claimed the life of at least 55 eleph… https://t.co/1IVjOR72HL
14,Sergio Aguero ends mini-drought with brace against Atalanta to remind Gabriel... #CPFC  https://t.co/ehQfwSwRja https://t.co/bbm4dWXwng
15,"@CNN As an FYI for folks, helicopters are needed in TX where the brush is impassable and deer hard to spot. We had… https://t.co/mvpYLosCMi"
16,Thats that drought talk https://t.co/onpuq83zsG
17,Rieder snaps 75-game goal-less drought in Flames’ loss to Capitals https://t.co/lnBZd7PMui
18,"Fifteen years ago, reeling from the effects of the Millennium drought, a workshop on regenerative agriculture radic… https://t.co/5DXf5KgiOU"
19,"#nswpol #auspol #drought #hay bales #agchatoz 
cc @Barnaby_Joyce https://t.co/BtQtO09Wm3"
20,me after a jk drought https://t.co/5ipGX1pJuy
21,https://t.co/FmlvhaMBbS
22,The only person who thinks Katie Allen was challenged on @AngusTaylorMP's denial of his purported crime in the farc… https://t.co/T58IcCCYeU
23,"@o_copter @Timmunist The government didn't seize the land. Private locals, working under the British system, issued… https://t.co/lk1zu0zlfm"
24,https://t.co/OB8C9Vszpi
25,@AdriaanBasson @News24 Whoooooo - there is a drought in SA SA where peope have no bloody water. Focus on real issues Adriaan
26,Burrumbuttock HayRunners chosen by @_Ausdragon_ may sound weird but it is a group who donated hay to drought affect… https://t.co/R7ucm9H1m0
27,@flashpixx8 @leighsales Best we have every had. The Drought Envoy got nothing on this guy.
28,"'She has to bathe in a bucket': Top End water supplies hit critical low 
So greedy miners open up fracking. FFS… https://t.co/iz1HtDYNfK"
29,@afsnsw @BryceDCamm @NationalFarmers Yes agree.. however long term water supply for ag production or regional commu… https://t.co/mthvaWDvFj
30,How come nobody's talking about the aborted Special Drought Envoy's Mission? How good was that? Joyce probably reco… https://t.co/v32ulUoJEz
31,So the drought continues. But at least the Gym session was great. 😉
32,@leighsales There's a drought minister?
33,drought 干ばつ
34,@leighsales He’s clearly doing a great job. Best drought we’ve ever seen.  How good is this..
