keyword,tweet_id,category,text,date,retweet_count,geo,coordinates,place_id,place_centroid,place_country,place_country_code,place_full_name,place_name,place_type
1.5sty,1.13403E+18,FIRE,"#PARKVILLE | 10-5 | BALTIMORE CO | U/D | 3051 WOODSIDE AVE | 1.5STY SFD, SMK SHOWING C-SIDE | FIRE SHOWING 2ND FLR #BREAKING #BCOFD",5/30/2019 9:52,0,,,,,,,,,
burn,1.13748E+18,NO,"Someone literally just tried to use ""you're 28, go pay your bills you motherfucking loser"" as an insult against me on a post I made about various LGBT+ discourse.
Guess ""you're an adult and have to pay bills what a loser"" is what counts as a sick burn these days. https://t.co/BV0KJbbCtU",6/8/2019 22:07,0,,,,,,,,,
burn,1.13748E+18,NO,🍨 Burn your bra and join the revolution! (52 Photos) https://t.co/oJgCTRQrSY,6/8/2019 22:07,0,,,,,,,,,
burn,1.13748E+18,NO,The roof is on fire let the mothafucka burn 🤣🤣🤣 https://t.co/z0Wujte5Ds,6/8/2019 22:07,0,,,,,,,,,
burn,1.13748E+18,NO,"Sunday June 9, 2019 Outdoor Burn Day Status: Western El Dorado County: NO BURN DAY South Lake Tahoe: NO BURN DAY  CAL FIRE Amador-El Dorado Unit has determined that fire danger is too  extreme due to the forecast for high winds and red-flag conditions this  weekend. https://t.co/PoixMxTlhc",6/8/2019 22:07,0,,,,,,,,,
burn,1.13748E+18,NO,@TacoBeIIGawd I burn so easy I can’t swim outside.,6/8/2019 22:07,0,,,,,,,,,
burn,1.13748E+18,NO,"@FourCzen Burn motherfucker,  burn! 😁😁😁😂",6/8/2019 22:06,0,,,,,,,,,
burn,1.13748E+18,NO,"@transnygma the unethical version of this involves sticking someone ELSE’S hand into the fire and asking them “does this burn?”; but it’s usually so hard to tell with all the screaming and whatnot, so i’ll just do it myself and save all the trouble with the paperwork",6/8/2019 22:06,0,,,,,,,,,
burn,1.13748E+18,NO,@angels_pimp This man could definitely burn the world down https://t.co/Taw8KHpRcU,6/8/2019 22:06,0,,,,,,,,,
burn,1.13748E+18,NO,@tiny_burn LOUDER WITH MORE FEELING..... Y OU,6/8/2019 22:06,0,,,,,,,,,
