;category;date;text;retweet_count;tweet_id
703;;2013-02-28T23:54:00;Drought Takes Its Toll on a Texas Business and a Town http://nyti.ms/YYTLZN ;;
1701;drought;7/14/2019 13:21;the real drought starts now that blackpinks concert tour has ended, what am i supposed to do until red velvet comes back with day 2 which we dont even know when;0.0;1.15e+18
18;coal ash water;7/21/2019 5:35;"*@SaintKiana *@Terrilltf Hey #LPC You have got to give people the water they need to exist
Thank you
.
Duke Energy in North Carolina did this
""The family goes through about 40 one-gallon plastic jugs each week""
https://t.co/IAQAgZOdSe";0.0;1.15281e+18
691;water and sanitation;7/11/2019 11:52;vehicles are routine and in a 2050 carbon free world they'll be ubiquitous? No neither do I and let me tell you why we can't even ensure that the communities our Indigenous people live in have fresh water,sanitation and food supplies that are;0.0;1.15e+18
146;water pollution;7/28/2019 3:18;"*@kayleigh_rose98 I don't think you understand that even if WE did everything that's been said that we need to do about ""climate change"",  it's NOT going to change or affect all the pollution of the air &amp  water that's coming out of places like China, Tokyo, India, etc? It will continue. THINK!!";0.0;1.15532e+18
293;#wastewater;7/11/2019 15:00;We will be presenting eXenoTM: new operational strategy of MBBR to remove pharmaceuticals in municipal WWTP effluents at this yearâs EWWM Conference. Room 2, day 1 at 11.35am. To find out more visit: https://t.co/GVMoy3TxdB #veoliawatertechnologiesuk #wastewater #EWWM #mbbr https://t.co/p6M3hZwNjb;0.0;1.14933e+18
2542;dry well;7/15/2019 7:52;Life without regrets is like a dry well, meaning nothing. A person's life is short-lived, and a fragile life cannot carry too much load. Dreaming, drunk, wake up, everything is like a cloud.;0.0;1.15067e+18
4160;flash flood;7/25/2019 23:58;Ilang barangay sa Santa Maria, Bulacan nakaranas ng flash flood https://t.co/3U4cncBLWz;0.0;1.15454e+18
1078;water pollution;7/25/2019 3:01;"Australia Found a Way to Save Water From Plastic Pollution and We Can Start Doing the Same
https://t.co/dmwJxuSDKC ZonePhysics #physics #innovation";0.0;1.15423e+18
389;industrial pollution;7/12/2019 16:44;"Boom Goes the Plastics Industry - great article from *@AntoniaJuhasz https://t.co/R3Md5ouY92 

And here's my take on the Shell Pa project 
https://t.co/S9tqK2x8Yo";3.0;1.14972e+18
63;water bacteria;7/28/2019 0:56;People out here still getting in the water with flesh eating bacteria;1.0;1.15528e+18
12;lake contamination;7/8/2019 21:10;.Programs in ð¨ð¦ have reduced contamination in all the #GreatLakes, including in Lake Ontario, and partners are committed to continued action.;0.0;1.15e+18
1075;water pollution;7/26/2019 20:07;Michigan's worst environmental injustice areas ID'd by new U-M tool https://t.co/piZels4sjt #environment;0.0;1.15485e+18
774;water pollution;7/26/2019 0:06;*@CatgirlZoes *@Logo_Daedalus *@YearofTwice2019 htr and the pill are massive amounts of estrogen that are then pissed out into the water supply, rivers, etc causing pollution.;0.0;1.15454e+18
328;water management;8/6/2019 14:42;*@JeffReutter Are those changes to fertilizer management enough to see satisfactory water quality improvement, Jeff?;0.0;1.15875e+18
472;water management;8/6/2019 6:18;A common regional understanding of how much water is available is the first step toward cooperative management of the river. [â¦] A forecast-informed filling strategy could reduce the likelihood of harming downstream countries. #NileCooperation | https://t.co/gimR6v05Ry https://t.co/shnHd4hyKY;1.0;1.15862e+18
1411;water management;6/25/2019 8:49;Prof. Chen: There inadequate wastewater Management infrastructure in Africa. We should change this because by 2050. about 70% of the world's population will be living in urban environment. Therefore we need to monitor water quality;0.0;1.14e+18
2479;dry well;7/23/2019 2:26;*@beetsonbikes Yes! My aunt swore by conditioner, and Iâve found Mixed Chicks works on Pygmyâs hair really well (their curls have collasped under the weight of hair, but still gets crunchy &amp  dry like curly hair);0.0;1.15349e+18
945;drinking water;8/7/2019 13:48;*@hahabita *@jessleber *@ABonisoli This article is probably the most comprehensive about PFAS levels in my hometown (Ann Arbor, MI). We've been told our water is still safe but there are very few regulations/maximum safe levels for certain PFAS chemicals. https://t.co/OWUII13HzW;0.0;1.1591e+18
1173;water pollution;7/12/2019 21:13;*@cryborg Rump is a home grown terrorist bent on killing us off with pollution of our air and water, etc.;0.0;1.15e+18
1087;dry well;7/18/2019 10:09;"Maybe the V&amp A wont have to worry about taking Sackler gold - the pot may well dry up due to compensation claims.
*@TristramHuntVA https://t.co/f9i4UV2nWZ";0.0;1.1518e+18
2712;water contamination;7/24/2019 17:02;Pentagonâs new chief attacks military base water contamination https://t.co/X2boOlDlWl;1.0;1.15407e+18
2523;flash flood;8/7/2019 7:52;Flash Flood Warning issued August 07 at 3:36AM EDT until August 07 at 7:30AM EDT by NWS The National Weather Service in JACKSON KY has issued a * Flash Flood Warning for... Northwestern Bath County in east central Kentucky... Central Fleming County in east central Kentucky..â¦;0.0;1.15901e+18
1094;water pollution;7/13/2019 5:12;The biggest two threats to water resources in Lebanon are #pollution and #population growth, much more than #climatechange https://t.co/ffxaaoA0sr;2.0;1.15e+18
746;lead water;7/12/2019 16:15;To offset exposure to lead in water, drink filtered water, put an aerator on your kitchen faucet, and use filtered water or bottled water in formula for young children, IPR and *@LurieChildrens head of pediatrics Matthew Davis suggested on *@WBEZmorning https://t.co/RkettjYF2j;0.0;1.15e+18
208;water pollution;7/18/2019 3:17;fair presentation, I found myself SWIMMING in a pool of unscientifitc and research studies that did not help my presentation! I can remember for days looking for sources that would help prove the presence of pollution in water, but the more sources I found the more confused I...;0.0;1.15169e+18
553;lead water;7/13/2019 5:48;Souths lead penalties 7-1, on an incredible day of 1sts,  also, the sun came up, the sky is blue and water is wet.;0.0;1.15e+18
623;water and sanitation;7/12/2019 19:55;WB to give $100m for safe water, sanitation The World Bank has approved $100 million to increase access to improved water supply and sanitation system in 30 municipalities in Bangladesh as well as to help build their capacity for delivering water and sanâ¦ https://t.co/cZvvJ8iYWw;0.0;1.15e+18
1310;lake pollution;6/20/2019 12:28;Health Canada epidemiologist on air pollution in #Ontario. Pollution near Lake Huron (and Lake Erie) is not from activity there, but blown into Ontario from industry and electricity generation in the U.S. So wind turbines in Ontario: zero effect #OnPoli https://t.co/aCtq8Fee4y;2.0;1.14e+18
832;water pollution;7/26/2019 11:11;Thames Water have been fined Â£607,000 for releasing millions of litres of raw sewage into a stream. Read the full BBC News story below. #water #pollution https://t.co/z5PpLUzxyd;0.0;1.15471e+18
3636;water contamination;7/11/2019 12:54;We'll hear from *@GregoryBHladky on what threats it poses to our health and environment. We'll also hear from *@aropeik on how activists in New Hampshire have been pushing for action on PFAS water contamination for years. Do you enjoy spending time on the Farmington River?;0.0;1.15e+18
989;algae bloom;7/9/2019 20:34;#Florida wants to add new blue-green algae bloom regulations to better identify danger zones and warn the public. https://t.co/AcdFOW8dUg;0.0;1.14869e+18
1184;water management;7/20/2019 1:24;*@AaratiKrishnan Iâve personally been involved in #CSR fund management at two Corporates, One listed. CSR is a social commitment which many Companies donât realise, rather use the funds to build toilets and water points for branding &amp  promotions. I would go a step and say CSR must fulfill a need.;0.0;1.15239e+18
410;industrial pollution;7/9/2019 16:52;*@Public_Citizen *@AOC People in Asia where masks because of pollution and dust. Pollution and deforestation and industrial fallout poisoning water supplies. USA can prevent that. But greedy politicians and companies don't care.;0.0;1.15e+18
858;water pollution;7/22/2019 6:42;*@khanthefatima *@ThePrintIndia Its very well researched but when you see Arnab you can get mesmerized so here goes 'why they did not - Why shouldn't 'IM' not spend their time worrying about how to clean water or reduce air pollution instead they are....that's the debate tonight. We can dream for that day...;0.0;1.15319e+18
624;water and sanitation;7/12/2019 19:46;#MWEworks: *@min_waterUg through WSDF-Central is implementing the construction of Kagadi piped #Water Supply and #Sanitation System in Kagadi district. *@StateHouseUg *@HonKibuule *@Parliament_Ug *@AfDB_Group *@UgandaMediaCent *@mofpedU *@okidi64 *@MosesWatasa *@VisionGrp *@ubctvuganda https://t.co/vHEX2595zs;3.0;1.15e+18
864;water management;7/26/2019 16:00;"We saw a wide range of promising, innovative technologies during *@awwa's #ACE19 last month. Check out our website to read more about it here: ðhttps://t.co/dBZelGkoNk 

#CAwater #AWWAACE";0.0;1.15478e+18
267;industrial pollution;7/21/2019 20:04;Industrial pollution sickened neighbors in hurricane-battered SC town, suit alleges https://t.co/LDRuzj3AJ7;0.0;1.15e+18
3263;pipe leak;7/19/2019 0:35;*@JulianM38736477 *@jackwild57 *@realDonaldTrump when you have a pipe that's leaking all over your floor you don't start mopping until you stop the leak;0.0;1.15201e+18
741;water pollution;7/26/2019 16:29;Demand action on #plastic pollution. Tell *@EPA to stop plastics plants from fouling our air and water: https://t.co/hd2yAa1wof;0.0;1.15479e+18
931;water management;7/23/2019 9:30;#Assam State Disaster Management Authority: As on today, water levels in all districts are receding. A total of 2,283 number of villages in 59 revenue circles of 18 districts are having flood waters, affecting a population of 30, 55, 837. https://t.co/OMrfnnJ6gK;2.0;1.1536e+18
62;oil spill;7/16/2019 17:48;.*@ryanmeili speaks to the media about last monthâs provincial report into the 2016 Husky oil spill. He says more oversight is needed on regulating the movement of oil with business currently self-regulating. Also calls for more transparency #saskpoli #skpoli https://t.co/zF08lm31IG;2.0;1.15119e+18
66;industrial pollution;7/26/2019 22:53;A young boy is found drowned in a mug of English Breakfast tea. Suspicion falls on Wookey Holeâs candid photographer, angry that efforts to curb industrial pollution in the town might threaten Midsomerâs anomalous murder rate.;9.0;1.15489e+18
484;dry well;7/26/2019 23:59;WHOOOIO SAID BIG MON DONT CRY YUH EVA SEE DI WATA WHEN DI WELL RUN DRY ð¶ð¶ð¶ð¶;0.0;1.1549e+18
280;algae bloom;7/25/2019 23:14;State officials warn of algae bloom along CharlesÂ River https://t.co/giBtviEXRa https://t.co/TgHQi1OOvu;0.0;1.15453e+18
1712;drought;7/16/2019 7:32;Drought man drought man yea thatâs meeeee https://t.co/OUKbvLdl60;0.0;1.15103e+18
1483;oil spill;7/30/2019 0:24;*@MsAnomalistic It's that damn oil spill and fish farms;0.0;1.156e+18
2034;water contamination;7/31/2019 2:50;*@EnergyLawyer1 *@denverpost And you are a lawyer? Please. ð 112 was different. Not the same. So you donât think there is a problem with the current air quality, water contamination, or risk to pregnant women, children, cancer due to toxic #oilandgas developent? Climate change? Do tell...;0.0;1.1564e+18
2470;dry well;7/11/2019 12:07;*@jay_jaydraper Very little, it's been left to go cold because the only relative living there couldn't breathe in there anymore and moved to another building in the homestead. Nothing like moisture in old timbers that never dry because the well insulated insides stay cold 3/4 the year :');0.0;1.15e+18
2838;dry well;7/12/2019 18:39;The mother is on another planet. It's about a dry well. The genre/topic: dystopia. Word length: 3000;0.0;1.15e+18
145;#oilspill;7/21/2019 14:09;Beauty day on #signalhill - oh and hey, thereâs the support vessels heading out to clean up the Hibernia #oilspill #exploreNL #oyvey https://t.co/hObLiAeuPe;1.0;1.15e+18
4166;pipe leak;7/9/2019 15:43;"Another successful day for our client, Beijing Sagacity Infinite, detecting a leak on a DN600 cast iron pipe with LeakFinderST correlator. https://t.co/VBvXTU1g2X 
#water #IoT https://t.co/WMa8IcEjUw";3.0;1.14862e+18
2364;oil spill;7/28/2019 10:15;Cage plays a fiancee who investigates a murder and helps Louisiana recover from the BP oil spill. In the end, it was all a demonic posession. Christian Bale costars.;0.0;1.15542e+18
117;#ecoli;7/11/2019 13:15;No quantitative limits for STEC and it could take 5 years but this is still a good thing right? #ecoli #foodsafety https://t.co/O7Tu91K50H;0.0;1.14931e+18
1217;water management;7/26/2019 22:37;*@iain_neill85 *@MikeBurton_Volc I think geology not seen as a solution. Geoscience mean oil/gas, fracking and global warming to many, whereas I see sustainabile resources (e.g. water) and safe waste management (CO2, radwaste). More geologists in geotech eng than anywhere else. Weâre selling the wrong message.;1.0;1.15488e+18
1189;drought;7/14/2019 17:17;bangtwice edits the only crumbs that keep us alive in drought;4.0;1.15e+18
1103;drinking water;7/16/2019 21:38;âBaCk iN mY dAy We UsEd To DrInK wAtEr FrOm ThE gArDeN hOsE.â bitch I am drinking from the garden hose right now what are you gonna do about it;0.0;1.15124e+18
1021;water pollution;7/25/2019 20:57;*@2020MNCongress *@IlhanMN *@RashidaTlaib *@AOC *@AyannaPressley I stand with #IlhanOmar!! She is a true patriot, doing great things to bring healthcare, education, and clean air and water to her district. Why Republicans want to punish their own neighbors with pollution, lack of healthcare, and poor education is a mystery. Danielle, GET HELP.;0.0;1.1545e+18
545;;2010-07-19T23:59:50;And im a lesbian with all my friends even thou i dont swing that way...i need some holy water in my room or something!;;
253;dry well;7/28/2019 13:50;Leclerc is absolutely flying! New inters working well for him, but itâll be a brave man to put dry tyres on. Verstappen and Bottas could be sitting ducks. ð¦ð¦ #GermanGP ð©ðª;0.0;1.15548e+18
185;water management;7/17/2019 9:00;In #Birmingham today for the *@aquaenviro #EWWM Conference? Stop by one of the many sessions weâre presenting on European water industry biological #phosphorus removal: #StantecWater https://t.co/GdF1CsltJt https://t.co/1V2axkkAUz;0.0;1.15142e+18
507;lead water;7/17/2019 16:45;"""I call upon the spirit of Leviathan, guide my path and lead me from the darkness...

Water Maelstrom!"" 

#VineBot";0.0;1.15153e+18
1114;drinking water;7/28/2019 21:33;Iâm 95% sure this fool drinking smart water ð https://t.co/jEbOxOV4J9;0.0;1.15559e+18
1591;water management;7/26/2019 11:41;Raleigh NC USA - Senior Construction Superintendent - Water / Wastewater - A Bachelor's Degree : A Bachelor's Degree in engineering or construction management preferred or substitute direct experience. 5-10 year JOBS #RALEIGH https://t.co/mB4E6eax32;0.0;1.15472e+18
924;industrial pollution;6/17/2019 14:53;"*@Tzeporah Make a difference of 30 cars right now guys:

Stop usin forestry and agriculture (10x car pollution)

Stop using industrial products (10x car pollution)

Stop using electricity (10x car pollution)

Stop living in buildings (buildings are 3x car pollution)

Go live in the bushes! https://t.co/2hhVfLFJYA";0.0;1.14e+18
327;lead water;7/13/2019 22:12;*@seriouslyclara I live in Georgia swampland and the water here is garbage. It's like that in many areas here because America doesn't really care if your water is drinkable or not. So many places still have old pipes and lots of lead and other crap in the water. I would filter it everywhere imo;0.0;1.15e+18
952;water pollution;7/11/2019 3:07;*@BethSEGreen I think that we have a responsibility to be good stewards of the earth that God has given us. Not only is our pollution destroying the Earth, but it's also destroying the air and water that all of God's creatures require.;1.0;1.15e+18
785;water pollution;7/13/2019 3:35;*@The_Hindustaani *@wanderlust365PF *@anks1504 *@saranya_018 Hey moron, we have sea water, we have brain to make it a drinking water. But how will save your Delhi and Mumbai from air pollution? Air is more important, you can't important air from anywhere. And Delhi is too running out of water. Save your land.;0.0;1.15e+18
719;#drought;7/16/2019 20:36;#Drought-tolerant landscapes still consume #potablewater  greywater is #smartirrigation because it cuts potable water use in landscaping altogether. Slashing each household water consumption should be #CAwater priority (16/21);0.0;1.15123e+18
1061;drinking water;7/27/2019 23:59;Actual question I'd like an answer to: Are people in Europe perpetually dehydrated? Are they drinking enough water at home to never drink water in public? Why do they only pour 3 cm of water in your cup when you buy it? I need answers.;0.0;1.16e+18
1656;;2016-07-19T23:59:21;Water restoration water damage Mansfield, TX #firerestoration Listed at: http://dld.bz/dRe95 ;;
1775;drought;7/14/2019 14:37;the drought is starting.......;0.0;1.15e+18
4133;flash flood;7/26/2019 0:01;we're on a major flash flood warning, oh well;0.0;1.15454e+18
1706;waste water;7/12/2019 6:03;*@amargov *@SwarajyaMag Getting water4 Chennai is only band aid solution. City can't sustain forever on such measures. There's need to decongest all metro cities. + Plant forests in catchment areas and along the river banks. Cap &amp  reduce population. Curb waste of water. *@AIADMKOfficial *@DrTamilisaiBJP;0.0;1.15e+18
1212;lead water;6/24/2019 10:08;In Echo of Flint, Mich., Water Crisis Now Hits Newark https://t.co/YhoPQwzHSf;0.0;1.14e+18
42;industrial pollution;7/19/2019 16:18;*@Kpascuch *@WillieDoesTox *@US_FDA And our own food sources. Our own water, environment isn't free of heavy metals. I guess they all want to confront global industrial pollution now?;0.0;1.15225e+18
92;#wastewater;7/17/2019 15:14;Our #Water #Scotland project team at *@scottish_water #Burrelton #WasteWater Treatment Works rescued 20 trapped #frogs and #toads from sampling chamber before releasing #amphibians in safe location. #LoveConstruction #PerthandKinross #Wildlife https://t.co/oeqZcWqpt3;0.0;1.15151e+18
1351;ecoli;7/23/2019 4:03;"The following are just a few harmful bacterias that Antimicrobial copper kills!

MRSA
Staph
Ecoli 

You are at risk of contracting these. Protect yourself with StayWell Copper!
#CopperRevolution
https://t.co/4EHKAB7J2r";0.0;1.15352e+18
2016;flash flood;7/23/2019 10:57;ACCUWEATHER ALERT: Flash Flood Warning issued for Kings, Nassau &amp  Queens Counties until 09:00 AM Tuesday https://t.co/4cPfkz028v;1.0;1.15362e+18
519;flood warning;8/6/2019 23:02;Areal Flood Warning for Montgomery County in MD until 1:00am Wednesday. #WJZ #mdwx;0.0;1.15888e+18
1764;oil spill;7/28/2019 7:01;"New post: ""Chilean navy says investigating oil spill on remote Patagonian island"" https://t.co/KxxIccjBa0";0.0;1.15537e+18
1922;oil spill;7/19/2019 7:13;*@UWEBristol my graduation today at 10 and Iâm stuck in traffic bcos of oil spill on m5. What is the latest time I can get in there for?;0.0;1.15211e+18
221;#wastewater;7/24/2019 12:00;Learn about our algae treatment at https://t.co/YrmB6HdENU #aeration #water #technology #wastewater #treatment #wastewatertreatment #environment #green #energy #algae #algaetreatment #clean #DO2E #alabama #mississippi #florida #louisiana https://t.co/mcxdnTSDLB;0.0;1.154e+18
1389;water sewage;6/25/2019 8:43;". Southern Water fined a record Â£127m over ""serious failures"" in the operation of #sewage treatment sites and for deliberately misreporting its performance. Full story on *@EnergyLiveNews shortly!";2.0;1.14e+18
199;industrial pollution;7/15/2019 17:35;This 07/12 story --&gt  *@EPA plans changes to end the ability of individuals or communities to appeal to the Environmental Appeals Board about industrial pollution levels, but would still allow industries to appeal to increase their pollution. https://t.co/otNX08AYOK;0.0;1.15082e+18
701;water pollution;7/11/2019 18:11;Environment pollution: Water firms' protection efforts 'unacceptable' How does that sound ? Minister for the Environment *@michaelgove https://t.co/mJkR6GcEb2;3.0;1.15e+18
2133;pipe leak;7/21/2019 18:35;"*@GeoMum_Amanda You didn't leak out the pipe. You branched out to new opportunities!

Academia provides very minimal incentives to stay, yet expects candidates far beyond their offers. They're trying to have their cake and eat it too";0.0;1.15301e+18
1188;water sewage;6/25/2019 21:37;*@IStandWithIlhan I'd have to say I'd take biden over Trump but I'd also rather eat a gallon of mayonnaise instead of a dead rat that's been soaking in sewage water for a week;0.0;1.14e+18
1498;waste water;7/14/2019 7:53;$1.5 million &amp  five year ban: The Chief Engineer confessed that the practice on the vessel was to discharge waste oil and oily #bilge water directly into the ocean using an emergency bilge pump system and buckets.Â  https://t.co/XYLbOUTJGI;0.0;1.15e+18
283;industrial pollution;7/21/2019 0:17;"*@Minimum_Max *@dickandcomix I just did, what kind of response do you want?

We were putting out ten times as much pollution during the industrial revolution and yet having less of an impact then than we are today. Its just the natural cycle of the planet.";0.0;1.15e+18
889;water bacteria;7/23/2019 18:29;"Ca pe la noi, la Marea NeagrÄ...

There's 'poop in the water' at America's dirtiest beaches. Is yours on the list? https://t.co/gsq8HBOFYZ";1.0;1.15373e+18
2049;oil spill;7/25/2019 14:09;"A whopping three birds, yes three birds go soaked in oil after oil spill off Newfoundland. 

https://t.co/yoGGeYyjzu";1.0;1.15439e+18
3845;flash flood;7/26/2019 21:46;If it was 90 degrees this morning and the lightning from this thunderstorm hits the flash flood river outside my house then itâs like a hot tub I can ridea tube back to work in  right? Letâs find out;0.0;1.15487e+18
3485;water contamination;7/12/2019 15:12;"Last week the Senate passed a bill to help monitor and eliminate major contributor of water contamination. Definitely a great step in the right direction for cleaner, healthier water! 

ð: https://t.co/NxeeEXGT9M https://t.co/gr0poZ1xX1";0.0;1.1497e+18
420;water contamination;6/22/2019 18:59;"â...But the federal government is not doing enough to protect Americans from tap water contamination.""
https://t.co/d0rAMWSRGm";0.0;1.14e+18
1766;lead water;7/26/2019 14:50;Old industrial-era American cities have lead in the water, methane in the air, baking bricks in the heat, no water meters in NYC walk-ups, sealed surfaces preventing water infiltration, sewerage overflowing into beach water when it storms, incontinence generally, like old people  https://t.co/cCKEtMYdGH;0.0;1.15e+18
1465;water management;7/26/2019 6:48;*@realFFK Watch out for:A Bill for An Act to Establish a Regulatory Framework for the water Resources Sector in Nigeria,Provide for the Equitable and Sustainable Redevelopment, Management,Use andConservation of Nigeriaâs Surface Water andGroundwater Resources and forOther Related Matters'.;1.0;1.15464e+18
114;lake contamination;6/17/2019 10:57;hdl`nitin_gadkari sir today I watch news i.e nagpur lake has huge contamination due to direct sewage in them. U always talking about clean river but wht about this, i hope u will take quick action;0.0;1.14e+18
1057;chemical spill;8/3/2019 16:10;*@BP_America *@inner_be By âremove all oilâ you mean use another chemical compound to make it sink to the sea floor thus making it impossible to clean up, poisoning the water, coating the sea floor and having it work itâs way up the ecosystem, with the added benefit of having it appear less of a spill..;0.0;1.15769e+18
2080;drought;7/18/2019 13:37;"After a worrisome dry period from late May and June, we've recovered nicely in the rainfall department. Only about a quarter of the state is now considered to be at least ""abnormally dry"" in the latest drought monitor *@gaclimateoffice #gawx #gaclimate https://t.co/elQv0BfTma";0.0;1.15185e+18
283;industrial pollution;7/13/2019 8:35;*@cathmckenna You need to conceptually change your focus from CO2 to Industrial Pollution. Change Cdn forestry practices to a 2 harvest system with biomass recovery to reduce forest fires. Profit will be the same! Replant adding a peripheral border of poplar/aspen to &lt  fire jumping. Simple!!;0.0;1.15e+18
207;lead water;7/14/2019 7:25;*@mamapleaselovem My pastor said that no matter what happens, God is in control and he will lead us to everlasting fountains of living water and embrace us wholeheartedly. So I can't wait to depart from this world. We are going to a place with no more sorrow or death and that's exhilarating!!!;0.0;1.15e+18
3887;flash flood;7/26/2019 5:44;NWS Albuquerque NM issued a Flash Flood Watch for Raton Ridge/Johnson Mesa  East Slopes Sangre de Cristo Mountains  Northern Sangre de Cr...;0.0;1.15463e+18
1244;e-coli;7/16/2019 0:32;*@ChipotleTweets What are you delivering to Area 51? E-Coli? *@FREEBIRDS_WB luv u;0.0;1.15093e+18
4094;flash flood;7/26/2019 1:00;ABQ continues Flash Flood Warning for Bernalillo [NM] till Jul 25, 9:00 PM MDT https://t.co/gvx8Vn6qkF;0.0;1.15456e+18
785;water management;7/11/2019 18:16;i checked in Hotel Noida international sec-11 frm GOIBIBO. askd for water i waited for 30 min but  no one  RESPONDED. water logging in washroom. no response from management. basic amenities missing frm room. unprofessional staff. very disappointed. #Goibibo;0.0;1.15e+18
1024;drought;7/12/2019 17:30;j.cole is on a 5 year drought...these features are keeping him afloat imo;0.0;1.15e+18
1183;e-coli;7/18/2019 11:02;"95% of people believe washroom cleaning impacts on public health. And they`d be right!

For example, Salmonella, E-coli and the Norovirus are just a few of the nasty bacteria that is lurking within dirty public and workplace washrooms

#commercialCleaning #Norfolk #Suffolk https://t.co/wUkmk0tGTN";0.0;1.15181e+18
305;#flashflood;7/8/2019 15:58;chrysalism. n. the amniotic tranquility of being indoors (in #DC) during a #FlashFlood.;0.0;1.14826e+18
1393;water management;6/25/2019 9:37;@Logisdienst @AntonvanDongen1 @teamagronl Als ik het goed begrijp moet de AH kassamedewerker en de vakkenvuller ook betaald worden en management, de huur van de winkel, de verzekeringen, electriciteit, water, de vrachtauto's en dat personeel weer. Het is allemaal niet zo simpel? Ik wou dat er een boer om de hoek woonde!;0.0;1.14e+18
1497;water management;7/26/2019 4:40;We donât have a water crisis we have a crisis of water Management for agriculture says â¦*@asitkbiswasâ© &amp  â¦*@MichaelFinucanâ© â¦*@EconomistEventsâ© #EconFTF â¦*@meatlivestockâ© â¦*@foodagilityâ© https://t.co/Q7I1uWp5hW;3.0;1.15461e+18
